,Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
88,Equatorial Guinea,GNQ,CO2 emissions (kt),EN.ATM.CO2E.KT,2215.4,3401.8,4630.8,5010.1,6201.6,8321.9,9372.4,8538.3,9777.3,9711.9,9949.4,9992.3,9819.4,9183.9,7907.5,6567.5,6655.1,5795.4,6428.7,5351.8
89,Greece,GRC,CO2 emissions (kt),EN.ATM.CO2E.KT,94460.6,96607.8,96596.2,100216.6,99844.6,101947.3,100702.8,104309.9,100405.6,94740.2,87578.5,84547.2,80085.3,72484.2,69548.7,68010.2,66848.6,66795.5,65021.2,59996.8
90,Grenada,GRD,CO2 emissions (kt),EN.ATM.CO2E.KT,208.9,226.1,244.5,251.2,233.3,246.0,260.1,275.1,290.7,806.4,288.0,306.7,413.1,317.5,253.9,273.0,277.9,288.2,321.1,325.0
91,Greenland,GRL,CO2 emissions (kt),EN.ATM.CO2E.KT,,,,,,,,,,,,,,,,,,,,
92,Guatemala,GTM,CO2 emissions (kt),EN.ATM.CO2E.KT,9417.6,9814.3,10468.7,10542.9,10754.7,11528.7,11521.2,12410.1,11240.3,11852.3,11442.3,11736.4,12145.2,13004.6,13947.1,16335.3,17490.3,16573.8,18318.0,19313.0
93,Guam,GUM,CO2 emissions (kt),EN.ATM.CO2E.KT,,,,,,,,,,,,,,,,,,,,
94,Guyana,GUY,CO2 emissions (kt),EN.ATM.CO2E.KT,1660.3,1643.8,1621.9,1617.8,1671.7,1481.6,1332.8,1605.2,1603.7,1627.2,1759.3,1831.6,2000.8,1975.6,2063.389,2079.93,2478.6,2473.8,2587.1,2846.2
95,High income,HIC,CO2 emissions (kt),EN.ATM.CO2E.KT,12862465.311,12933311.122,12841449.638,13070708.304,13210945.654,13252555.251,13196252.061,13361955.016,13096054.512,12358768.855,12874491.33,12653550.113,12509982.803,12593910.485,12395856.81,12358842.519,12264287.109,12191013.077,12206205.717,11878630.618
96,"Hong Kong SAR, China",HKG,CO2 emissions (kt),EN.ATM.CO2E.KT,,,,,,,,,,,,,,,,,,,,
97,Honduras,HND,CO2 emissions (kt),EN.ATM.CO2E.KT,4987.2,5800.1,6087.8,6726.2,7557.8,6973.6,7974.5,8536.1,8587.1,8072.9,8181.3,8814.1,9238.1,9371.3,9464.9,9930.2,9465.3,9263.9,10048.8,10219.6
98,Heavily indebted poor countries (HIPC),HPC,CO2 emissions (kt),EN.ATM.CO2E.KT,79667.221,83764.798,87947.693,92004.357,97000.8,101869.864,110956.09,118318.557,124527.456,132865.277,144585.727,154534.567,165294.062,171795.355,181710.391,193613.982,204415.29,211421.259,222424.89,228716.426
99,Croatia,HRV,CO2 emissions (kt),EN.ATM.CO2E.KT,18040.4,19203.0,20281.7,21613.9,21099.7,21453.0,21605.3,22879.0,21731.3,20308.9,19460.3,19031.6,17409.0,17010.6,16236.4,16602.3,16876.8,17407.9,16433.4,16523.3
100,Haiti,HTI,CO2 emissions (kt),EN.ATM.CO2E.KT,1473.3,1600.5,1827.2,1810.3,1666.8,1704.8,1718.8,2045.4,2029.3,1991.4,2458.2,2697.54,2415.34,2650.86,3021.14,3280.44,3364.54,3326.24,3289.74,3317.34
101,Hungary,HUN,CO2 emissions (kt),EN.ATM.CO2E.KT,54633.3,56280.4,55599.9,58186.9,56349.8,55921.2,55457.5,53850.4,53014.2,47839.1,47880.5,46907.3,43427.2,40762.6,40625.2,43384.1,44248.4,46435.2,46396.0,46382.3
102,IBRD only,IBD,CO2 emissions (kt),EN.ATM.CO2E.KT,10107554.383,10418084.478,10821336.369,11703154.813,12676695.018,13581018.61,14512060.67,15396441.99,15861394.86,16270244.62,17489092.96,18680037.207,19248312.735,19799449.749,20026058.062,19859514.512,19928172.398,20430527.442,21168610.43,21498640.93
103,IDA & IBRD total,IBT,CO2 emissions (kt),EN.ATM.CO2E.KT,10642342.885,10969893.24,11375266.434,12270272.029,13269600.092,14193788.887,15147362.038,16051026.066,16531761.951,16934249.108,18190473.797,19403403.386,19969451.667,20534853.794,20788956.863,20639690.794,20764721.708,21319559.631,22070593.91,22436755.846
